risk_rule,fee_level,n,churned,churn_rate,ci_low,ci_high,small_group,monthly_charge_sum,monthly_charge_mean,customer_share,monthly_charge_share
Other customers,High fee,3039,878,0.28891082593,0.27307042236,0.305284211832,False,279252.95,91.8897499177,0.43149226182,0.612240269264
Other customers,Low fee,2686,251,0.0934475055845,0.0830135032849,0.105042732209,False,103672.5,38.5973566642,0.381371574613,0.227293854247
Rule flagged,High fee,485,360,0.742268041237,0.701544588738,0.779183867819,False,39908.95,82.2864948454,0.0688627005537,0.0874972539916
Rule flagged,Low fee,833,380,0.456182472989,0.422637007455,0.490130220757,False,33282.2,39.9546218487,0.118273463013,0.072968622497
