dataset,source_url,license,download_date,version,relative_path,file_type,bytes,sha256,rows,columns,notes
telco_customer_churn,https://www.kaggle.com/datasets/blastchar/telco-customer-churn,Data files © Original Authors,2026-09-02,1,data/raw/telco_customer_churn/kaggle_dataset.zip,zip,175758,CF7E6DCD8A238ECAA841A7D133142525453992D8D5E3EF6D1E5F0D359E7BF444,,,Kaggle archive; extracted CSV is the primary input
telco_customer_churn,https://www.kaggle.com/datasets/blastchar/telco-customer-churn,Data files © Original Authors,2026-09-02,1,data/raw/telco_customer_churn/WA_Fn-UseC_-Telco-Customer-Churn.csv,csv,977501,88BE4B93FBE0CC83421AF1C503794C97C342ECA914C1576DB7C276E61D61358A,7043,21,Public telecom proxy dataset; not Azure internal data
customer_support_tickets,https://www.kaggle.com/datasets/suraj520/customer-support-ticket-dataset,CC0: Public Domain,2026-09-02,1,data/raw/customer_support_tickets/kaggle_dataset.zip,zip,847457,99E848C33601EB8863D00F1B8304FAA7D1336243B985C2E3CEABE35806149DF8,,,Kaggle archive; extracted CSV is the primary input
customer_support_tickets,https://www.kaggle.com/datasets/suraj520/customer-support-ticket-dataset,CC0: Public Domain,2026-09-02,1,data/raw/customer_support_tickets/customer_support_tickets.csv,csv,3945533,B06A9CDE84DA65DB388BD964D75F88EE1EED96607CF75D0C35F09C3F11BF8BEA,8469,17,No verified shared customer ID with Telco; analyze separately
saas_customer_churn,https://www.kaggle.com/datasets/wearetenet/saas-churn-rate-statistics-dataset,CC0: Public Domain,2026-09-02,1,data/raw/saas_customer_churn/kaggle_dataset.zip,zip,10354,8170C9EB1EBFED0752EA59486B8657CD8893651930B64518A37E9D0C8A8BD7C9,,,Kaggle archive; extracted XLSX is the primary input
saas_customer_churn,https://www.kaggle.com/datasets/wearetenet/saas-churn-rate-statistics-dataset,CC0: Public Domain,2026-09-02,1,data/raw/saas_customer_churn/saas_churn_rate_dataset.xlsx,xlsx,11565,E7F2F2888E9C3AD4711B0E9BEE5F724D075D055B4D701483C91D333BC902C6A4,5,4,Industry summary table rather than customer-level records
