PaymentMethod,n,churned,churn_rate,ci_low,ci_high,small_group
Bank transfer (automatic),1544,258,0.167098445596,0.149321062993,0.18652822949,False
Credit card (automatic),1522,232,0.152431011827,0.135249776574,0.171362326615,False
Electronic check,2365,1071,0.452854122622,0.432885211711,0.472975942834,False
Mailed check,1612,308,0.191066997519,0.172618453444,0.21098443992,False
