tenure_band,n,churned,churn_rate,ci_low,ci_high,small_group
"[0,6)",1371,744,0.542669584245,0.516216834628,0.568883886804,False
"[6,12)",698,255,0.365329512894,0.330434794002,0.401698442589,False
"[12,24)",1047,309,0.295128939828,0.268291130228,0.323464603809,False
"[24,48)",1624,339,0.208743842365,0.189676462182,0.229185863216,False
"[48,73)",2303,222,0.0963960052106,0.0850057252458,0.109130485159,False
