Contract,n,churned,churn_rate,ci_low,ci_high,small_group
Month-to-month,3875,1655,0.427096774194,0.411601953237,0.44273599638,False
One year,1473,166,0.112695179905,0.097543557531,0.129861663805,False
Two year,1695,48,0.0283185840708,0.0214253341322,0.0373449874316,False
