InternetService,fee_level,service_level,n,churned,churn_rate,ci_low,ci_high,small_group
DSL,High fee,0-2 add-ons,3,1,0.333333333333,0.0614919447204,0.792340399198,True
DSL,High fee,3-6 add-ons,580,34,0.0586206896552,0.0422497914952,0.0807998099596,False
DSL,Low fee,0-2 add-ons,1160,346,0.298275862069,0.272649135301,0.325234239232,False
DSL,Low fee,3-6 add-ons,678,78,0.115044247788,0.0931653924918,0.141260743896,False
Fiber optic,High fee,0-2 add-ons,1374,733,0.533478893741,0.507043752804,0.559727354576,False
Fiber optic,High fee,3-6 add-ons,1567,470,0.299936183791,0.27775988034,0.323090990714,False
Fiber optic,Low fee,0-2 add-ons,155,94,0.606451612903,0.527859851247,0.67989447338,False
