statistic,tenure,MonthlyCharges
count,7043,7043
mean,32.3711486582,64.7616924606
std,24.5594810231,30.0900470977
min,0,18.25
25%,9,35.5
50%,29,70.35
75%,55,89.85
max,72,118.75
