SeniorCitizen,Partner,Dependents,n,churned,churn_rate,ci_low,ci_high,small_group
0,No,No,2719,847,0.311511585142,0.294380561282,0.32917445817,False
0,No,Yes,353,75,0.212464589235,0.173005921128,0.258113992262,False
0,Yes,No,1163,242,0.208082545142,0.185732139429,0.232355043824,False
0,Yes,Yes,1666,229,0.137454981993,0.121752853038,0.154825175602,False
1,No,No,561,276,0.491978609626,0.450804495277,0.533261830132,False
1,No,Yes,8,2,0.25,0.0714792127521,0.59072456969,True
1,Yes,No,490,178,0.363265306122,0.32189804951,0.406759806961,False
1,Yes,Yes,83,20,0.240963855422,0.161747438412,0.34309736056,False
