fee_level,service_level,n,churned,churn_rate,ci_low,ci_high,small_group
High fee,0-2 add-ons,1377,734,0.533042846768,0.506636223496,0.559265621657,False
High fee,3-6 add-ons,2147,504,0.234746157429,0.217301568848,0.253138246542,False
Low fee,0-2 add-ons,1315,440,0.334600760456,0.309612224572,0.360552830454,False
Low fee,3-6 add-ons,678,78,0.115044247788,0.0931653924918,0.141260743896,False
