field,group,n,churned,churn_rate,ci_low,ci_high,small_group
gender,Female,3488,939,0.269208715596,0.254748750633,0.284176478652,False
gender,Male,3555,930,0.261603375527,0.247418640575,0.276302767189,False
SeniorCitizen,0,5901,1393,0.23606168446,0.225400599717,0.247066185086,False
SeniorCitizen,1,1142,476,0.416812609457,0.388543145478,0.445639848568,False
Partner,No,3641,1200,0.329579785773,0.314498058588,0.345020739686,False
Partner,Yes,3402,669,0.196649029982,0.183638235413,0.210344125494,False
Dependents,No,4933,1543,0.312791404825,0.300003376859,0.325870774579,False
Dependents,Yes,2110,326,0.154502369668,0.139709827288,0.170550649478,False
