InternetService,n,churned,churn_rate,ci_low,ci_high,small_group
DSL,2421,459,0.189591078067,0.174473543002,0.205692119156,False
Fiber optic,3096,1297,0.418927648579,0.401659300221,0.436396933728,False
No,1526,113,0.0740498034076,0.0619544377837,0.088284305908,False
