service,n_all,adopted,adoption_all,n_eligible,adoption_eligible
OnlineSecurity,7043,2019,0.286667613233,5517,0.36595976074
OnlineBackup,7043,2429,0.344881442567,5517,0.440275512054
DeviceProtection,7043,2422,0.34388754792,5517,0.439006706543
TechSupport,7043,2044,0.290217236973,5517,0.37049120899
StreamingTV,7043,2707,0.384353258555,5517,0.490665216603
StreamingMovies,7043,2732,0.387902882294,5517,0.495196664854
